year,lon,lat,dep,mag
2000,104.25,30.23,14.0,1.7
2000,102.27,25.9,15.0,2.3
2000,104.02,31.48,6.0,1.6
2000,102.37,29.8,18.0,1.6
2000,105.2,29.32,5.0,2.4
2000,99.0,24.68,5.0,3.1
2000,100.83,27.03,25.0,2.2
2000,98.2,24.73,10.0,2.6
2000,102.42,29.92,12.0,2.1
2000,101.07,28.53,10.0,2.6
2000,103.92,31.27,10.0,1.4
2000,103.02,29.98,11.0,2.2
2000,105.15,32.05,8.0,2.0
2000,103.73,31.72,7.0,1.9
2000,104.08,31.58,9.0,1.8
2000,102.08,27.97,2.0,1.2
2000,99.92,31.15,9.0,2.3
2000,104.05,31.5,7.0,1.4
2000,102.83,30.6,5.0,1.8
2000,103.58,28.23,11.0,2.3
2000,102.18,29.07,10.0,2.0
2000,102.37,29.02,11.0,1.9
2000,100.12,26.23,25.0,1.8
2000,100.9,26.62,5.0,2.7
2000,104.78,33.07,2.0,2.6
2000,102.28,29.03,12.0,1.6
2000,102.18,24.4,10.0,2.4
2000,102.57,29.03,10.0,2.4
2000,105.02,32.12,5.0,1.4
2000,103.83,31.43,10.0,1.7
2000,103.72,31.17,10.0,1.6
2000,99.78,26.58,15.0,1.9
2000,99.2,25.68,10.0,3.1
2000,103.7,32.25,1.0,1.6
2000,105.08,32.1,18.0,1.8
2000,101.23,28.0,9.0,2.5
2000,102.97,30.83,13.0,2.0
2000,102.82,30.87,8.0,2.2
2000,104.07,31.72,4.0,1.6
2000,99.73,26.25,10.0,2.0
2000,104.58,31.22,5.0,2.3
2000,101.08,32.07,14.0,2.0
2000,103.75,31.15,13.0,1.8
2000,104.87,32.7,13.0,1.7
2000,103.87,31.28,5.0,1.3
2000,102.52,28.92,22.0,2.7
2000,102.72,26.32,10.0,2.3
2000,104.08,31.63,12.0,1.9
2000,103.88,31.25,13.0,1.4
2000,101.83,27.37,9.0,1.8
2000,103.65,28.23,18.0,2.9
2000,103.65,27.87,2.0,2.4
2000,103.92,31.25,13.0,1.4
2000,101.05,25.57,20.0,2.4
2000,104.93,29.42,10.0,1.6
2000,100.95,26.75,5.0,2.1
2000,104.07,31.48,9.0,1.1
2000,100.62,28.05,2.0,2.6
2000,104.0,31.47,7.0,1.1
2000,103.97,31.47,5.0,1.1
2000,102.9,25.08,25.0,1.8
2000,99.87,26.15,10.0,2.3
2000,103.38,30.32,49.0,3.0
2000,102.17,25.9,5.0,2.7
2000,101.15,26.98,10.0,2.4
2000,101.13,26.98,25.0,1.4
2000,101.18,25.45,10.0,2.2
2000,104.33,31.43,3.0,1.5
2000,103.15,31.67,5.0,2.8
2000,103.17,31.67,6.0,2.2
2000,103.13,31.67,7.0,2.6
2000,103.13,31.67,10.0,2.4
2000,103.15,31.67,8.0,2.6
2000,102.27,28.75,8.0,1.5
2000,102.27,28.75,8.0,1.4
2000,102.27,28.75,8.0,1.4
